video_id,label,frames_dir,num_frames_extracted
Celeb-synthesis_id1_id2_0002,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id1_id2_0002,60
Youtube-real_00062,0,deepfake_detector/data/frames\train\real\Youtube-real_00062,60
Celeb-synthesis_id1_id3_0000,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id1_id3_0000,60
Celeb-synthesis_id3_id6_0006,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id3_id6_0006,60
Celeb-synthesis_id8_id3_0002,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id8_id3_0002,60
Celeb-synthesis_id1_id17_0007,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id1_id17_0007,60
Celeb-synthesis_id9_id1_0006,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id9_id1_0006,60
Celeb-synthesis_id9_id4_0007,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id9_id4_0007,60
Celeb-synthesis_id16_id1_0010,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id16_id1_0010,60
Celeb-synthesis_id9_id16_0003,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id9_id16_0003,60
Celeb-synthesis_id16_id3_0003,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id16_id3_0003,60
Youtube-real_00025,0,deepfake_detector/data/frames\train\real\Youtube-real_00025,60
Celeb-synthesis_id0_id6_0000,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id0_id6_0000,60
Celeb-synthesis_id2_id0_0008,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id2_id0_0008,60
Celeb-real_id10_0009,0,deepfake_detector/data/frames\train\real\Celeb-real_id10_0009,60
Youtube-real_00027,0,deepfake_detector/data/frames\train\real\Youtube-real_00027,60
Celeb-synthesis_id12_id10_0001,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id12_id10_0001,60
Youtube-real_00001,0,deepfake_detector/data/frames\train\real\Youtube-real_00001,60
Celeb-real_id10_0005,0,deepfake_detector/data/frames\train\real\Celeb-real_id10_0005,60
Celeb-synthesis_id4_id2_0004,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id4_id2_0004,60
Youtube-real_00246,0,deepfake_detector/data/frames\train\real\Youtube-real_00246,60
Celeb-synthesis_id10_id7_0002,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id10_id7_0002,60
Youtube-real_00216,0,deepfake_detector/data/frames\train\real\Youtube-real_00216,60
Celeb-synthesis_id8_id0_0007,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id8_id0_0007,60
Celeb-synthesis_id17_id0_0000,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id17_id0_0000,60
Youtube-real_00005,0,deepfake_detector/data/frames\train\real\Youtube-real_00005,60
Celeb-synthesis_id0_id6_0007,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id0_id6_0007,60
Celeb-synthesis_id9_id1_0001,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id9_id1_0001,60
Celeb-synthesis_id0_id2_0000,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id0_id2_0000,60
Celeb-synthesis_id16_id3_0009,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id16_id3_0009,60
Youtube-real_00021,0,deepfake_detector/data/frames\train\real\Youtube-real_00021,60
Youtube-real_00097,0,deepfake_detector/data/frames\train\real\Youtube-real_00097,60
Celeb-synthesis_id4_id1_0005,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id4_id1_0005,60
Celeb-synthesis_id7_id13_0007,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id7_id13_0007,60
Youtube-real_00065,0,deepfake_detector/data/frames\train\real\Youtube-real_00065,60
Celeb-synthesis_id6_id0_0008,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id6_id0_0008,60
Celeb-synthesis_id6_id17_0006,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id6_id17_0006,59
Celeb-synthesis_id3_id2_0007,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id3_id2_0007,60
Celeb-synthesis_id4_id1_0003,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id4_id1_0003,60
Youtube-real_00126,0,deepfake_detector/data/frames\train\real\Youtube-real_00126,60
Celeb-synthesis_id9_id3_0001,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id9_id3_0001,60
Celeb-synthesis_id9_id17_0001,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id9_id17_0001,60
Celeb-synthesis_id0_id4_0001,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id0_id4_0001,60
Celeb-synthesis_id16_id17_0004,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id16_id17_0004,60
Celeb-real_id16_0010,0,deepfake_detector/data/frames\train\real\Celeb-real_id16_0010,60
Celeb-synthesis_id10_id12_0004,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id10_id12_0004,60
Celeb-synthesis_id4_id0_0008,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id4_id0_0008,60
Youtube-real_00053,0,deepfake_detector/data/frames\train\real\Youtube-real_00053,60
Celeb-synthesis_id11_id7_0000,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id11_id7_0000,60
Youtube-real_00022,0,deepfake_detector/data/frames\train\real\Youtube-real_00022,60
Celeb-real_id17_0009,0,deepfake_detector/data/frames\train\real\Celeb-real_id17_0009,60
Celeb-synthesis_id8_id9_0008,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id8_id9_0008,60
Celeb-real_id9_0002,0,deepfake_detector/data/frames\train\real\Celeb-real_id9_0002,60
Celeb-synthesis_id17_id1_0007,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id17_id1_0007,55
Celeb-synthesis_id13_id10_0001,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id13_id10_0001,60
Youtube-real_00107,0,deepfake_detector/data/frames\train\real\Youtube-real_00107,60
Celeb-synthesis_id0_id16_0004,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id0_id16_0004,60
Celeb-synthesis_id16_id0_0010,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id16_id0_0010,60
Celeb-real_id17_0000,0,deepfake_detector/data/frames\train\real\Celeb-real_id17_0000,60
Celeb-synthesis_id17_id0_0002,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id17_id0_0002,60
Youtube-real_00139,0,deepfake_detector/data/frames\train\real\Youtube-real_00139,60
Celeb-synthesis_id4_id0_0003,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id4_id0_0003,60
Celeb-synthesis_id16_id9_0006,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id16_id9_0006,45
Celeb-synthesis_id7_id13_0001,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id7_id13_0001,59
Celeb-synthesis_id3_id1_0007,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id3_id1_0007,60
Youtube-real_00167,0,deepfake_detector/data/frames\train\real\Youtube-real_00167,60
Celeb-synthesis_id2_id1_0007,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id2_id1_0007,60
Celeb-synthesis_id16_id2_0009,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id16_id2_0009,60
Celeb-synthesis_id9_id16_0001,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id9_id16_0001,60
Celeb-synthesis_id8_id2_0007,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id8_id2_0007,60
Celeb-synthesis_id9_id4_0000,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id9_id4_0000,60
Celeb-synthesis_id16_id1_0012,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id16_id1_0012,60
Youtube-real_00130,0,deepfake_detector/data/frames\train\real\Youtube-real_00130,60
Youtube-real_00120,0,deepfake_detector/data/frames\train\real\Youtube-real_00120,60
Celeb-synthesis_id1_id16_0001,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id1_id16_0001,55
Youtube-real_00064,0,deepfake_detector/data/frames\train\real\Youtube-real_00064,60
Celeb-synthesis_id10_id13_0008,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id10_id13_0008,60
Celeb-synthesis_id1_id17_0000,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id1_id17_0000,60
Celeb-synthesis_id1_id3_0007,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id1_id3_0007,60
Youtube-real_00088,0,deepfake_detector/data/frames\train\real\Youtube-real_00088,60
Youtube-real_00103,0,deepfake_detector/data/frames\train\real\Youtube-real_00103,60
Youtube-real_00084,0,deepfake_detector/data/frames\train\real\Youtube-real_00084,60
Celeb-synthesis_id3_id16_0005,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id3_id16_0005,60
Celeb-synthesis_id16_id9_0011,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id16_id9_0011,55
Celeb-real_id4_0009,0,deepfake_detector/data/frames\train\real\Celeb-real_id4_0009,60
Youtube-real_00177,0,deepfake_detector/data/frames\train\real\Youtube-real_00177,60
Celeb-synthesis_id12_id7_0005,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id12_id7_0005,60
Celeb-synthesis_id6_id9_0007,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id6_id9_0007,60
Youtube-real_00184,0,deepfake_detector/data/frames\train\real\Youtube-real_00184,60
Youtube-real_00067,0,deepfake_detector/data/frames\train\real\Youtube-real_00067,60
Celeb-synthesis_id11_id7_0009,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id11_id7_0009,60
Celeb-synthesis_id16_id0_0000,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id16_id0_0000,60
Celeb-synthesis_id7_id11_0000,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id7_id11_0000,56
Celeb-synthesis_id2_id9_0002,1,deepfake_detector/data/frames\train\fake\Celeb-synthesis_id2_id9_0002,60
Youtube-real_00173,0,deepfake_detector/data/frames\train\real\Youtube-real_00173,60
Youtube-real_00128,0,deepfake_detector/data/frames\train\real\Youtube-real_00128,60
Youtube-real_00203,0,deepfake_detector/data/frames\train\real\Youtube-real_00203,60
Celeb-real_id13_0009,0,deepfake_detector/data/frames\train\real\Celeb-real_id13_0009,60
